
 Fermi energy:        -3.7164009327

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
    227       2.4082      0.00000
    228       2.4149      0.00000
    229       2.4608      0.00000
    230       2.7508      0.00000
    231       2.7726      0.00000
    232       2.8121      0.00000
    233       2.8130      0.00000
    234       2.8199      0.00000
    235       2.8421      0.00000
    236       2.8524      0.00000
    237       2.8530      0.00000
    238       2.8549      0.00000
    239       2.8572      0.00000
    240       2.8601      0.00000
    241       2.8792      0.00000
    242       2.9782      0.00000
    243       3.0541      0.00000
    244       3.0689      0.00000
    245       3.0875      0.00000
    246       3.1050      0.00000
    247       3.1095      0.00000
    248       3.1208      0.00000
    249       3.1481      0.00000
    250       3.2010      0.00000
    251       3.3373      0.00000
    252       3.4536      0.00000
 Fermi energy:        -3.7164009327

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -29.1976      1.00000
      2     -24.2724      1.00000
      3     -23.9412      1.00000
      4     -23.9354      1.00000
      5     -23.8715      1.00000
      6     -23.8590      1.00000
      7     -23.8462      1.00000
      8     -23.5430      1.00000
      9     -23.3235      1.00000
     10     -23.1001      1.00000
     11     -23.0691      1.00000
     12     -23.0144      1.00000
     13     -23.0139      1.00000
     14     -22.8608      1.00000
     15     -22.8585      1.00000
     16     -22.7320      1.00000
     17     -22.6764      1.00000
     18     -22.6634      1.00000
     19     -22.5849      1.00000
     20     -22.1493      1.00000
     21     -22.0926      1.00000
     22     -21.7661      1.00000
     23     -21.7303      1.00000
     24     -21.7065      1.00000
     25     -21.6927      1.00000
     26     -21.6906      1.00000
     27     -21.6736      1.00000
     28     -21.6488      1.00000
     29     -21.6383      1.00000
     30     -21.5941      1.00000
     31     -21.4742      1.00000
     32     -21.4089      1.00000
     33     -21.3303      1.00000
     34     -21.2857      1.00000
     35     -21.2573      1.00000
     36     -21.2400      1.00000
     37     -21.0139      1.00000
     38     -20.9319      1.00000
     39     -20.8477      1.00000
     40     -20.7658      1.00000
     41     -20.7617      1.00000
     42     -20.7133      1.00000
     43     -20.6630      1.00000
     44     -20.6488      1.00000
     45     -20.6304      1.00000
     46     -20.5920      1.00000
     47     -20.5795      1.00000
     48     -20.5045      1.00000
     49     -19.0933      1.00000
     50     -14.7055      1.00000
     51     -14.6903      1.00000
     52     -14.4252      1.00000
     53     -14.3915      1.00000
     54     -14.3401      1.00000
     55     -14.3127      1.00000
     56     -14.2897      1.00000
     57     -14.2700      1.00000
     58     -14.1852      1.00000
     59     -14.1510      1.00000
     60     -14.0992      1.00000
     61     -13.9296      1.00000
     62     -13.9228      1.00000
     63     -13.7098      1.00000
     64     -13.6240      1.00000
     65     -13.6086      1.00000
     66     -13.5110      1.00000
     67     -13.4274      1.00000
     68     -13.1938      1.00000
     69     -13.1341      1.00000
     70     -12.9251      1.00000
     71     -12.9249      1.00000
     72     -12.8946      1.00000
     73     -12.8832      1.00000
     74     -12.8610      1.00000
     75     -12.8506      1.00000
     76     -12.8136      1.00000
     77     -12.8125      1.00000
     78     -12.5934      1.00000
     79     -12.3424      1.00000
     80     -12.3256      1.00000
     81     -12.1669      1.00000
     82     -12.1575      1.00000
     83     -12.1148      1.00000
     84     -12.0689      1.00000
     85     -11.8457      1.00000
     86     -11.5935      1.00000
     87     -11.4899      1.00000
     88     -11.3651      1.00000
     89     -11.3122      1.00000
     90     -11.2677      1.00000
     91     -11.0490      1.00000
     92     -11.0305      1.00000
     93     -10.8436      1.00000
     94     -10.7425      1.00000
     95     -10.6305      1.00000
     96     -10.5810      1.00000
     97     -10.4818      1.00000
     98     -10.4712      1.00000
     99     -10.4493      1.00000
    100     -10.4014      1.00000
    101     -10.2783      1.00000
    102     -10.2396      1.00000
    103     -10.1536      1.00000
    104     -10.1532      1.00000
    105     -10.1362      1.00000
    106     -10.1233      1.00000
    107     -10.1029      1.00000
    108     -10.0985      1.00000
    109     -10.0913      1.00000
    110     -10.0762      1.00000
    111     -10.0432      1.00000
    112     -10.0422      1.00000
    113     -10.0295      1.00000
    114     -10.0191      1.00000
    115     -10.0035      1.00000
    116      -9.9727      1.00000
    117      -9.9543      1.00000
    118      -9.9406      1.00000
    119      -9.9236      1.00000
    120      -9.7681      1.00000
    121      -9.6856      1.00000
    122      -9.5393      1.00000
    123      -9.3849      1.00000
    124      -9.3794      1.00000
    125      -9.3149      1.00000
    126      -9.2646      1.00000
    127      -9.2589      1.00000
    128      -9.0584      1.00000
    129      -8.9502      1.00000
    130      -8.9029      1.00000
    131      -8.8772      1.00000
    132      -8.8742      1.00000
    133      -8.8159      1.00000
    134      -8.7887      1.00000
    135      -8.7760      1.00000
    136      -8.6859      1.00000
    137      -8.6143      1.00000
    138      -8.5912      1.00000
    139      -8.5846      1.00000
    140      -8.5656      1.00000
    141      -8.5616      1.00000
    142      -8.5270      1.00000
    143      -8.4842      1.00000
    144      -8.4549      1.00000
    145      -8.4447      1.00000
    146      -8.4344      1.00000
    147      -8.3809      1.00000
    148      -8.3303      1.00000
    149      -8.3094      1.00000
    150      -8.1954      1.00000
    151      -8.1802      1.00000
    152      -8.1726      1.00000
    153      -8.1056      1.00000
    154      -8.0808      1.00000
    155      -8.0013      1.00000
    156      -7.9325      1.00000
    157      -7.5141      1.00000
    158      -7.4509      1.00000
    159      -7.3483      1.00000
    160      -7.2652      1.00000
    161      -7.1713      1.00000
    162      -7.1492      1.00000
    163      -7.1304      1.00000
    164      -7.1273      1.00000
    165      -6.9683      1.00000
    166      -6.9477      1.00000
    167      -6.9340      1.00000
    168      -6.9225      1.00000
    169      -6.9213      1.00000
    170      -6.9083      1.00000
    171      -6.8810      1.00000
    172      -6.8796      1.00000
    173      -6.8283      1.00000
    174      -6.6139      1.00000
    175      -6.5685      1.00000
    176      -6.4980      1.00000
    177      -6.4100      1.00000
    178      -6.3641      1.00000
    179      -6.3011      1.00000
    180      -6.2780      1.00000
    181      -6.2708      1.00000
    182      -5.9644      1.00000
    183      -5.6599      1.00000
    184      -5.6438      1.00000
    185      -5.5376      1.00000
    186      -5.5218      1.00000
    187      -5.4911      1.00000
    188      -5.3731      1.00000
    189      -5.3047      1.00000
    190      -5.3022      1.00000
    191      -5.2728      1.00000
    192      -5.2433      1.00000
    193      -5.2287      1.00000
    194      -4.9774      1.00000
    195      -3.9573      1.00000
    196       0.2317      0.00000
    197       0.8740      0.00000
    198       1.3286      0.00000
    199       1.3493      0.00000
    200       1.3567      0.00000
    201       1.3924      0.00000
    202       1.4012      0.00000
    203       1.4540      0.00000
    204       1.5073      0.00000
    205       1.5078      0.00000
    206       1.5123      0.00000
    207       1.5165      0.00000
    208       1.5287      0.00000
    209       1.5439      0.00000
    210       1.5803      0.00000
    211       1.5912      0.00000
    212       1.6352      0.00000
    213       1.6465      0.00000
    214       1.6714      0.00000
    215       1.7739      0.00000
    216       1.7911      0.00000
    217       1.8734      0.00000
    218       1.8851      0.00000
    219       1.9154      0.00000
    220       2.0915      0.00000
    221       2.1276      0.00000
    222       2.2096      0.00000
    223       2.3866      0.00000
    224       2.3934      0.00000
    225       2.3951      0.00000
    226       2.3993      0.00000
    227       2.4082      0.00000
    228       2.4149      0.00000
    229       2.4608      0.00000
    230       2.7503      0.00000
    231       2.7727      0.00000
    232       2.8124      0.00000
    233       2.8132      0.00000
    234       2.8195      0.00000
    235       2.8428      0.00000
    236       2.8524      0.00000
    237       2.8532      0.00000
    238       2.8546      0.00000
    239       2.8570      0.00000
    240       2.8606      0.00000
    241       2.8831      0.00000
    242       2.9771      0.00000
    243       3.0575      0.00000
    244       3.0675      0.00000
    245       3.0864      0.00000
    246       3.1031      0.00000
    247       3.1132      0.00000
    248       3.1243      0.00000
    249       3.1334      0.00000
    250       3.2454      0.00000
    251       3.4073      0.00000
    252       3.5041      0.00000

