
 Fermi energy:        -5.1979034237

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
    227       2.4835      0.00000
    228       2.4835      0.00000
    229       2.5002      0.00000
    230       2.5003      0.00000
    231       2.5367      0.00000
    232       2.5379      0.00000
    233       2.6079      0.00000
    234       2.6079      0.00000
    235       2.6249      0.00000
    236       2.6249      0.00000
    237       2.6772      0.00000
    238       2.6791      0.00000
    239       2.6860      0.00000
    240       2.6860      0.00000
    241       2.7272      0.00000
    242       2.8815      0.00000
    243       2.8957      0.00000
    244       2.8958      0.00000
    245       2.9026      0.00000
    246       2.9047      0.00000
    247       2.9047      0.00000
    248       3.0830      0.00000
    249       3.1221      0.00000
    250       3.1778      0.00000
    251       3.1910      0.00000
    252       3.2186      0.00000
 Fermi energy:        -5.1979034237

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -25.0489      1.00000
      2     -24.6620      1.00000
      3     -24.6619      1.00000
      4     -24.4564      1.00000
      5     -24.3511      1.00000
      6     -24.3511      1.00000
      7     -24.2049      1.00000
      8     -23.7362      1.00000
      9     -23.7362      1.00000
     10     -23.6897      1.00000
     11     -23.6897      1.00000
     12     -23.6733      1.00000
     13     -23.4789      1.00000
     14     -23.2715      1.00000
     15     -23.2715      1.00000
     16     -23.2050      1.00000
     17     -23.1766      1.00000
     18     -23.1766      1.00000
     19     -23.0681      1.00000
     20     -22.6955      1.00000
     21     -22.4936      1.00000
     22     -22.4936      1.00000
     23     -22.2871      1.00000
     24     -22.2871      1.00000
     25     -22.1837      1.00000
     26     -22.1836      1.00000
     27     -22.1340      1.00000
     28     -22.1340      1.00000
     29     -22.1071      1.00000
     30     -22.0713      1.00000
     31     -21.9475      1.00000
     32     -21.8507      1.00000
     33     -21.8507      1.00000
     34     -21.7037      1.00000
     35     -21.6138      1.00000
     36     -21.6138      1.00000
     37     -21.6008      1.00000
     38     -21.5986      1.00000
     39     -21.2733      1.00000
     40     -21.2733      1.00000
     41     -21.2020      1.00000
     42     -21.2020      1.00000
     43     -21.0811      1.00000
     44     -21.0693      1.00000
     45     -20.9639      1.00000
     46     -20.9639      1.00000
     47     -20.9043      1.00000
     48     -20.9043      1.00000
     49     -20.4709      1.00000
     50     -15.3010      1.00000
     51     -15.1681      1.00000
     52     -15.1680      1.00000
     53     -15.0603      1.00000
     54     -15.0603      1.00000
     55     -14.9280      1.00000
     56     -14.7062      1.00000
     57     -14.7062      1.00000
     58     -14.6609      1.00000
     59     -14.6085      1.00000
     60     -14.6085      1.00000
     61     -14.5188      1.00000
     62     -14.2451      1.00000
     63     -14.2451      1.00000
     64     -14.1536      1.00000
     65     -14.1536      1.00000
     66     -14.1161      1.00000
     67     -13.9620      1.00000
     68     -13.6294      1.00000
     69     -13.6294      1.00000
     70     -13.4910      1.00000
     71     -13.4470      1.00000
     72     -13.4470      1.00000
     73     -13.3051      1.00000
     74     -13.3051      1.00000
     75     -13.3040      1.00000
     76     -13.2964      1.00000
     77     -13.2440      1.00000
     78     -13.2440      1.00000
     79     -13.1799      1.00000
     80     -12.8780      1.00000
     81     -12.8780      1.00000
     82     -12.6329      1.00000
     83     -12.6329      1.00000
     84     -12.5766      1.00000
     85     -12.5428      1.00000
     86     -12.0190      1.00000
     87     -12.0189      1.00000
     88     -11.8618      1.00000
     89     -11.8583      1.00000
     90     -11.8582      1.00000
     91     -11.7406      1.00000
     92     -11.3905      1.00000
     93     -11.2766      1.00000
     94     -11.2057      1.00000
     95     -11.2056      1.00000
     96     -11.1355      1.00000
     97     -11.0201      1.00000
     98     -10.9822      1.00000
     99     -10.9821      1.00000
    100     -10.8371      1.00000
    101     -10.8371      1.00000
    102     -10.7435      1.00000
    103     -10.6956      1.00000
    104     -10.6955      1.00000
    105     -10.6860      1.00000
    106     -10.6859      1.00000
    107     -10.6176      1.00000
    108     -10.6176      1.00000
    109     -10.6118      1.00000
    110     -10.5211      1.00000
    111     -10.5124      1.00000
    112     -10.4966      1.00000
    113     -10.4966      1.00000
    114     -10.4815      1.00000
    115     -10.4665      1.00000
    116     -10.4664      1.00000
    117     -10.3968      1.00000
    118     -10.3968      1.00000
    119     -10.3136      1.00000
    120     -10.2809      1.00000
    121     -10.2304      1.00000
    122     -10.2304      1.00000
    123      -9.8031      1.00000
    124      -9.8023      1.00000
    125      -9.8022      1.00000
    126      -9.7149      1.00000
    127      -9.7148      1.00000
    128      -9.7119      1.00000
    129      -9.5196      1.00000
    130      -9.5196      1.00000
    131      -9.5126      1.00000
    132      -9.3862      1.00000
    133      -9.3861      1.00000
    134      -9.3861      1.00000
    135      -9.3230      1.00000
    136      -9.1687      1.00000
    137      -9.1686      1.00000
    138      -8.9877      1.00000
    139      -8.9876      1.00000
    140      -8.9757      1.00000
    141      -8.8986      1.00000
    142      -8.8808      1.00000
    143      -8.8808      1.00000
    144      -8.8762      1.00000
    145      -8.8761      1.00000
    146      -8.8383      1.00000
    147      -8.8381      1.00000
    148      -8.8143      1.00000
    149      -8.8074      1.00000
    150      -8.8033      1.00000
    151      -8.8033      1.00000
    152      -8.7348      1.00000
    153      -8.5509      1.00000
    154      -8.5508      1.00000
    155      -8.4614      1.00000
    156      -8.3478      1.00000
    157      -8.1985      1.00000
    158      -8.1984      1.00000
    159      -7.8209      1.00000
    160      -7.6598      1.00000
    161      -7.6463      1.00000
    162      -7.6463      1.00000
    163      -7.5501      1.00000
    164      -7.5499      1.00000
    165      -7.4653      1.00000
    166      -7.4555      1.00000
    167      -7.4555      1.00000
    168      -7.3553      1.00000
    169      -7.3552      1.00000
    170      -7.3543      1.00000
    171      -7.3543      1.00000
    172      -7.3056      1.00000
    173      -7.2903      1.00000
    174      -7.2903      1.00000
    175      -7.2788      1.00000
    176      -7.2509      1.00000
    177      -6.8582      1.00000
    178      -6.8582      1.00000
    179      -6.7676      1.00000
    180      -6.7672      1.00000
    181      -6.7661      1.00000
    182      -6.5884      1.00000
    183      -6.5869      1.00000
    184      -6.5869      1.00000
    185      -6.2188      1.00000
    186      -5.9738      1.00000
    187      -5.9738      1.00000
    188      -5.9365      1.00000
    189      -5.9364      1.00000
    190      -5.9152      1.00000
    191      -5.7308      1.00000
    192      -5.7239      1.00000
    193      -5.6049      1.00000
    194      -5.6049      1.00000
    195      -5.5111      1.00000
    196      -5.5111      1.00000
    197       0.1494      0.00000
    198       0.1494      0.00000
    199       0.3573      0.00000
    200       0.6037      0.00000
    201       0.8660      0.00000
    202       0.8660      0.00000
    203       0.9005      0.00000
    204       1.1894      0.00000
    205       1.1937      0.00000
    206       1.1937      0.00000
    207       1.2429      0.00000
    208       1.2429      0.00000
    209       1.3138      0.00000
    210       1.3138      0.00000
    211       1.3739      0.00000
    212       1.3956      0.00000
    213       1.4088      0.00000
    214       1.4089      0.00000
    215       1.4159      0.00000
    216       1.4884      0.00000
    217       1.4884      0.00000
    218       1.5512      0.00000
    219       1.6065      0.00000
    220       1.6066      0.00000
    221       1.6689      0.00000
    222       1.7852      0.00000
    223       2.3301      0.00000
    224       2.3348      0.00000
    225       2.3349      0.00000
    226       2.4784      0.00000
    227       2.4835      0.00000
    228       2.4835      0.00000
    229       2.5002      0.00000
    230       2.5003      0.00000
    231       2.5367      0.00000
    232       2.5379      0.00000
    233       2.6079      0.00000
    234       2.6079      0.00000
    235       2.6249      0.00000
    236       2.6249      0.00000
    237       2.6772      0.00000
    238       2.6791      0.00000
    239       2.6860      0.00000
    240       2.6860      0.00000
    241       2.7272      0.00000
    242       2.8815      0.00000
    243       2.8957      0.00000
    244       2.8958      0.00000
    245       2.9026      0.00000
    246       2.9047      0.00000
    247       2.9047      0.00000
    248       3.0827      0.00000
    249       3.1225      0.00000
    250       3.1502      0.00000
    251       3.1900      0.00000
    252       3.2232      0.00000

