
 Fermi energy:        -5.2921069791

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
    227       2.4281      0.00000
    228       2.4849      0.00000
    229       2.5048      0.00000
    230       2.5330      0.00000
    231       2.5487      0.00000
    232       2.6285      0.00000
    233       2.6342      0.00000
    234       2.6491      0.00000
    235       2.6976      0.00000
    236       2.7268      0.00000
    237       2.7464      0.00000
    238       2.7835      0.00000
    239       2.8375      0.00000
    240       2.9198      0.00000
    241       2.9724      0.00000
    242       3.0089      0.00000
    243       3.1258      0.00000
    244       3.1375      0.00000
    245       3.1573      0.00000
    246       3.1911      0.00000
    247       3.2138      0.00000
    248       3.2193      0.00000
    249       3.3255      0.00000
    250       3.4120      0.00000
    251       3.5247      0.00000
    252       3.6428      0.00000
 Fermi energy:        -5.2921069791

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -29.9915      1.00000
      2     -24.8051      1.00000
      3     -24.6247      1.00000
      4     -24.6247      1.00000
      5     -24.2966      1.00000
      6     -24.2598      1.00000
      7     -24.2597      1.00000
      8     -24.1536      1.00000
      9     -23.7389      1.00000
     10     -23.7388      1.00000
     11     -23.6131      1.00000
     12     -23.6130      1.00000
     13     -23.5302      1.00000
     14     -23.3257      1.00000
     15     -23.1846      1.00000
     16     -23.1846      1.00000
     17     -23.1754      1.00000
     18     -23.1337      1.00000
     19     -23.1337      1.00000
     20     -22.9345      1.00000
     21     -22.4415      1.00000
     22     -22.4332      1.00000
     23     -22.4331      1.00000
     24     -22.3611      1.00000
     25     -22.3611      1.00000
     26     -22.1334      1.00000
     27     -22.1334      1.00000
     28     -22.0792      1.00000
     29     -22.0534      1.00000
     30     -22.0533      1.00000
     31     -22.0231      1.00000
     32     -21.8546      1.00000
     33     -21.7994      1.00000
     34     -21.7994      1.00000
     35     -21.6015      1.00000
     36     -21.6014      1.00000
     37     -21.5981      1.00000
     38     -21.5233      1.00000
     39     -21.5065      1.00000
     40     -21.2261      1.00000
     41     -21.2261      1.00000
     42     -21.2035      1.00000
     43     -21.2035      1.00000
     44     -21.0164      1.00000
     45     -21.0136      1.00000
     46     -20.9252      1.00000
     47     -20.9252      1.00000
     48     -20.9173      1.00000
     49     -20.9173      1.00000
     50     -16.4146      1.00000
     51     -16.4146      1.00000
     52     -15.2485      1.00000
     53     -14.9770      1.00000
     54     -14.9770      1.00000
     55     -14.8428      1.00000
     56     -14.6402      1.00000
     57     -14.6019      1.00000
     58     -14.6019      1.00000
     59     -14.5803      1.00000
     60     -14.5802      1.00000
     61     -14.5802      1.00000
     62     -14.3858      1.00000
     63     -14.3858      1.00000
     64     -14.1539      1.00000
     65     -14.1539      1.00000
     66     -14.0846      1.00000
     67     -14.0804      1.00000
     68     -13.6824      1.00000
     69     -13.6824      1.00000
     70     -13.5459      1.00000
     71     -13.4510      1.00000
     72     -13.4510      1.00000
     73     -13.4336      1.00000
     74     -13.3317      1.00000
     75     -13.3057      1.00000
     76     -13.3057      1.00000
     77     -13.2805      1.00000
     78     -13.2804      1.00000
     79     -13.2600      1.00000
     80     -12.8868      1.00000
     81     -12.8868      1.00000
     82     -12.7016      1.00000
     83     -12.7016      1.00000
     84     -12.6665      1.00000
     85     -12.4999      1.00000
     86     -12.4985      1.00000
     87     -12.1517      1.00000
     88     -12.1515      1.00000
     89     -11.9531      1.00000
     90     -11.8996      1.00000
     91     -11.8996      1.00000
     92     -11.8591      1.00000
     93     -11.5821      1.00000
     94     -11.5820      1.00000
     95     -11.3637      1.00000
     96     -11.1063      1.00000
     97     -11.1062      1.00000
     98     -11.0827      1.00000
     99     -10.8840      1.00000
    100     -10.8839      1.00000
    101     -10.8674      1.00000
    102     -10.7407      1.00000
    103     -10.7407      1.00000
    104     -10.7297      1.00000
    105     -10.6990      1.00000
    106     -10.6812      1.00000
    107     -10.6448      1.00000
    108     -10.6447      1.00000
    109     -10.6178      1.00000
    110     -10.6177      1.00000
    111     -10.6049      1.00000
    112     -10.5845      1.00000
    113     -10.5845      1.00000
    114     -10.4440      1.00000
    115     -10.4358      1.00000
    116     -10.4357      1.00000
    117     -10.4244      1.00000
    118     -10.4243      1.00000
    119     -10.4106      1.00000
    120     -10.3302      1.00000
    121     -10.3302      1.00000
    122     -10.2396      1.00000
    123     -10.1280      1.00000
    124      -9.9299      1.00000
    125      -9.9298      1.00000
    126      -9.9075      1.00000
    127      -9.6939      1.00000
    128      -9.6938      1.00000
    129      -9.6849      1.00000
    130      -9.4972      1.00000
    131      -9.4972      1.00000
    132      -9.4576      1.00000
    133      -9.4576      1.00000
    134      -9.3525      1.00000
    135      -9.3524      1.00000
    136      -9.2921      1.00000
    137      -9.2447      1.00000
    138      -9.1871      1.00000
    139      -9.1871      1.00000
    140      -9.1016      1.00000
    141      -8.9672      1.00000
    142      -8.9308      1.00000
    143      -8.8954      1.00000
    144      -8.8954      1.00000
    145      -8.8462      1.00000
    146      -8.8460      1.00000
    147      -8.8277      1.00000
    148      -8.8041      1.00000
    149      -8.8041      1.00000
    150      -8.7933      1.00000
    151      -8.7815      1.00000
    152      -8.7815      1.00000
    153      -8.7224      1.00000
    154      -8.7222      1.00000
    155      -8.6033      1.00000
    156      -8.4862      1.00000
    157      -8.4861      1.00000
    158      -8.4037      1.00000
    159      -8.3731      1.00000
    160      -7.7510      1.00000
    161      -7.7509      1.00000
    162      -7.7034      1.00000
    163      -7.6366      1.00000
    164      -7.6365      1.00000
    165      -7.5566      1.00000
    166      -7.5563      1.00000
    167      -7.5373      1.00000
    168      -7.5242      1.00000
    169      -7.5241      1.00000
    170      -7.5008      1.00000
    171      -7.3024      1.00000
    172      -7.3023      1.00000
    173      -7.2781      1.00000
    174      -7.2411      1.00000
    175      -7.2411      1.00000
    176      -7.2217      1.00000
    177      -6.9249      1.00000
    178      -6.8621      1.00000
    179      -6.8617      1.00000
    180      -6.8279      1.00000
    181      -6.8278      1.00000
    182      -6.6078      1.00000
    183      -6.6077      1.00000
    184      -6.6073      1.00000
    185      -6.3273      1.00000
    186      -6.2059      1.00000
    187      -5.9739      1.00000
    188      -5.9738      1.00000
    189      -5.9470      1.00000
    190      -5.9470      1.00000
    191      -5.7019      1.00000
    192      -5.6963      1.00000
    193      -5.5839      1.00000
    194      -5.5838      1.00000
    195      -5.5616      1.00000
    196      -5.5615      1.00000
    197       0.2864      0.00000
    198       0.4474      0.00000
    199       0.4474      0.00000
    200       0.4853      0.00000
    201       0.8913      0.00000
    202       0.8917      0.00000
    203       0.9072      0.00000
    204       1.1178      0.00000
    205       1.1655      0.00000
    206       1.1677      0.00000
    207       1.2079      0.00000
    208       1.2616      0.00000
    209       1.2782      0.00000
    210       1.2810      0.00000
    211       1.2917      0.00000
    212       1.2918      0.00000
    213       1.3776      0.00000
    214       1.4545      0.00000
    215       1.4559      0.00000
    216       1.4791      0.00000
    217       1.4799      0.00000
    218       1.5340      0.00000
    219       1.5413      0.00000
    220       1.5559      0.00000
    221       1.5679      0.00000
    222       1.6911      0.00000
    223       2.1266      0.00000
    224       2.3421      0.00000
    225       2.3445      0.00000
    226       2.3896      0.00000
    227       2.4588      0.00000
    228       2.4842      0.00000
    229       2.4890      0.00000
    230       2.5131      0.00000
    231       2.5411      0.00000
    232       2.6158      0.00000
    233       2.6211      0.00000
    234       2.6630      0.00000
    235       2.6747      0.00000
    236       2.6963      0.00000
    237       2.7207      0.00000
    238       2.7291      0.00000
    239       2.7908      0.00000
    240       2.8533      0.00000
    241       2.9743      0.00000
    242       3.0312      0.00000
    243       3.0525      0.00000
    244       3.1091      0.00000
    245       3.1099      0.00000
    246       3.1434      0.00000
    247       3.1913      0.00000
    248       3.2462      0.00000
    249       3.3097      0.00000
    250       3.3754      0.00000
    251       3.4211      0.00000
    252       3.5888      0.00000

