
 Fermi energy:        -4.5299011215

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
    227       2.4494      0.00000
    228       2.4599      0.00000
    229       2.4863      0.00000
    230       2.5300      0.00000
    231       2.5348      0.00000
    232       2.5899      0.00000
    233       2.6368      0.00000
    234       2.6487      0.00000
    235       2.6947      0.00000
    236       2.7084      0.00000
    237       2.7186      0.00000
    238       2.7323      0.00000
    239       2.7474      0.00000
    240       2.7873      0.00000
    241       2.7987      0.00000
    242       2.8175      0.00000
    243       2.8623      0.00000
    244       2.8781      0.00000
    245       2.9030      0.00000
    246       2.9839      0.00000
    247       3.0172      0.00000
    248       3.0610      0.00000
    249       3.0852      0.00000
    250       3.0951      0.00000
    251       3.1644      0.00000
    252       3.1767      0.00000
 Fermi energy:        -4.5299011215

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.7584      1.00000
      2     -24.4720      1.00000
      3     -24.3644      1.00000
      4     -24.2206      1.00000
      5     -24.1748      1.00000
      6     -24.1377      1.00000
      7     -24.1098      1.00000
      8     -23.5869      1.00000
      9     -23.5347      1.00000
     10     -23.5111      1.00000
     11     -23.4789      1.00000
     12     -23.3631      1.00000
     13     -23.2316      1.00000
     14     -23.1204      1.00000
     15     -23.1155      1.00000
     16     -23.1024      1.00000
     17     -23.0470      1.00000
     18     -22.9500      1.00000
     19     -22.8164      1.00000
     20     -22.3232      1.00000
     21     -22.2706      1.00000
     22     -22.2395      1.00000
     23     -22.1855      1.00000
     24     -22.0941      1.00000
     25     -22.0686      1.00000
     26     -22.0361      1.00000
     27     -22.0086      1.00000
     28     -21.9981      1.00000
     29     -21.9794      1.00000
     30     -21.8599      1.00000
     31     -21.8268      1.00000
     32     -21.7045      1.00000
     33     -21.6134      1.00000
     34     -21.5953      1.00000
     35     -21.5529      1.00000
     36     -21.5114      1.00000
     37     -21.4458      1.00000
     38     -21.2076      1.00000
     39     -21.1968      1.00000
     40     -21.1537      1.00000
     41     -21.1418      1.00000
     42     -20.9952      1.00000
     43     -20.9851      1.00000
     44     -20.9200      1.00000
     45     -20.9014      1.00000
     46     -20.8747      1.00000
     47     -20.8717      1.00000
     48     -15.1843      1.00000
     49     -15.0242      1.00000
     50     -14.9387      1.00000
     51     -14.8145      1.00000
     52     -14.7889      1.00000
     53     -14.7330      1.00000
     54     -14.6304      1.00000
     55     -14.5856      1.00000
     56     -14.5561      1.00000
     57     -14.5108      1.00000
     58     -14.4702      1.00000
     59     -14.3854      1.00000
     60     -14.3010      1.00000
     61     -14.2045      1.00000
     62     -13.9850      1.00000
     63     -13.9598      1.00000
     64     -13.8572      1.00000
     65     -13.7963      1.00000
     66     -13.7456      1.00000
     67     -13.6318      1.00000
     68     -13.3151      1.00000
     69     -13.2998      1.00000
     70     -13.2971      1.00000
     71     -13.2702      1.00000
     72     -13.2396      1.00000
     73     -13.2293      1.00000
     74     -13.2088      1.00000
     75     -13.1228      1.00000
     76     -12.8793      1.00000
     77     -12.8303      1.00000
     78     -12.5975      1.00000
     79     -12.5407      1.00000
     80     -12.5033      1.00000
     81     -12.4644      1.00000
     82     -12.4218      1.00000
     83     -12.3352      1.00000
     84     -12.2589      1.00000
     85     -11.9821      1.00000
     86     -11.8196      1.00000
     87     -11.7615      1.00000
     88     -11.6165      1.00000
     89     -11.4685      1.00000
     90     -11.2850      1.00000
     91     -11.2365      1.00000
     92     -11.0506      1.00000
     93     -10.9919      1.00000
     94     -10.9797      1.00000
     95     -10.8867      1.00000
     96     -10.8433      1.00000
     97     -10.7607      1.00000
     98     -10.7411      1.00000
     99     -10.6421      1.00000
    100     -10.6229      1.00000
    101     -10.5866      1.00000
    102     -10.5753      1.00000
    103     -10.5618      1.00000
    104     -10.5079      1.00000
    105     -10.4866      1.00000
    106     -10.4507      1.00000
    107     -10.4373      1.00000
    108     -10.4136      1.00000
    109     -10.4002      1.00000
    110     -10.3721      1.00000
    111     -10.3605      1.00000
    112     -10.3459      1.00000
    113     -10.3249      1.00000
    114     -10.2964      1.00000
    115     -10.2578      1.00000
    116     -10.2393      1.00000
    117     -10.2088      1.00000
    118     -10.1045      1.00000
    119     -10.0388      1.00000
    120      -9.8702      1.00000
    121      -9.7000      1.00000
    122      -9.6871      1.00000
    123      -9.6120      1.00000
    124      -9.5586      1.00000
    125      -9.4778      1.00000
    126      -9.4188      1.00000
    127      -9.3336      1.00000
    128      -9.3003      1.00000
    129      -9.2798      1.00000
    130      -9.2557      1.00000
    131      -9.2159      1.00000
    132      -9.1838      1.00000
    133      -9.1036      1.00000
    134      -9.0888      1.00000
    135      -9.0822      1.00000
    136      -9.0113      1.00000
    137      -8.9819      1.00000
    138      -8.8678      1.00000
    139      -8.8341      1.00000
    140      -8.7834      1.00000
    141      -8.7734      1.00000
    142      -8.7646      1.00000
    143      -8.7576      1.00000
    144      -8.7447      1.00000
    145      -8.7314      1.00000
    146      -8.7286      1.00000
    147      -8.6894      1.00000
    148      -8.6108      1.00000
    149      -8.5516      1.00000
    150      -8.5004      1.00000
    151      -8.4335      1.00000
    152      -8.4083      1.00000
    153      -8.4005      1.00000
    154      -7.9679      1.00000
    155      -7.8258      1.00000
    156      -7.6869      1.00000
    157      -7.6285      1.00000
    158      -7.6082      1.00000
    159      -7.5712      1.00000
    160      -7.5155      1.00000
    161      -7.4817      1.00000
    162      -7.4734      1.00000
    163      -7.4458      1.00000
    164      -7.4281      1.00000
    165      -7.2835      1.00000
    166      -7.2685      1.00000
    167      -7.2467      1.00000
    168      -7.2173      1.00000
    169      -7.2121      1.00000
    170      -7.1885      1.00000
    171      -7.0103      1.00000
    172      -6.9521      1.00000
    173      -6.9284      1.00000
    174      -6.8271      1.00000
    175      -6.7410      1.00000
    176      -6.6302      1.00000
    177      -6.6185      1.00000
    178      -6.5639      1.00000
    179      -6.4848      1.00000
    180      -6.3571      1.00000
    181      -5.9759      1.00000
    182      -5.9498      1.00000
    183      -5.9390      1.00000
    184      -5.9073      1.00000
    185      -5.7160      1.00000
    186      -5.6877      1.00000
    187      -5.5956      1.00000
    188      -5.5765      1.00000
    189      -5.5648      1.00000
    190      -5.5529      1.00000
    191      -5.4976      1.00000
    192      -4.7743      1.00000
    193      -2.5108      0.00000
    194      -1.3160      0.00000
    195      -0.9686      0.00000
    196       0.1570      0.00000
    197       0.6084      0.00000
    198       0.7972      0.00000
    199       0.8601      0.00000
    200       0.8808      0.00000
    201       0.9788      0.00000
    202       1.0721      0.00000
    203       1.1057      0.00000
    204       1.1200      0.00000
    205       1.1690      0.00000
    206       1.2805      0.00000
    207       1.2826      0.00000
    208       1.3032      0.00000
    209       1.3275      0.00000
    210       1.3596      0.00000
    211       1.4372      0.00000
    212       1.4504      0.00000
    213       1.4718      0.00000
    214       1.4953      0.00000
    215       1.5406      0.00000
    216       1.5458      0.00000
    217       1.5661      0.00000
    218       1.5960      0.00000
    219       1.6530      0.00000
    220       1.7118      0.00000
    221       1.8291      0.00000
    222       1.9002      0.00000
    223       1.9799      0.00000
    224       2.2013      0.00000
    225       2.3042      0.00000
    226       2.4327      0.00000
    227       2.4494      0.00000
    228       2.4599      0.00000
    229       2.4863      0.00000
    230       2.5300      0.00000
    231       2.5348      0.00000
    232       2.5899      0.00000
    233       2.6368      0.00000
    234       2.6487      0.00000
    235       2.6947      0.00000
    236       2.7084      0.00000
    237       2.7186      0.00000
    238       2.7323      0.00000
    239       2.7474      0.00000
    240       2.7873      0.00000
    241       2.7987      0.00000
    242       2.8175      0.00000
    243       2.8623      0.00000
    244       2.8781      0.00000
    245       2.9030      0.00000
    246       2.9839      0.00000
    247       3.0172      0.00000
    248       3.0610      0.00000
    249       3.0852      0.00000
    250       3.0951      0.00000
    251       3.1644      0.00000
    252       3.1767      0.00000

