
 Fermi energy:        -0.4103991812

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
    227       2.5641      0.00000
    228       2.5967      0.00000
    229       2.6067      0.00000
    230       2.6633      0.00000
    231       2.6652      0.00000
    232       2.6847      0.00000
    233       2.7411      0.00000
    234       2.8862      0.00000
    235       2.8903      0.00000
    236       2.8983      0.00000
    237       2.9024      0.00000
    238       2.9241      0.00000
    239       2.9319      0.00000
    240       2.9727      0.00000
    241       3.4790      0.00000
    242       3.4850      0.00000
    243       3.4875      0.00000
    244       3.4902      0.00000
    245       3.5049      0.00000
    246       3.5180      0.00000
    247       3.5241      0.00000
    248       3.5326      0.00000
    249       3.5360      0.00000
    250       3.5368      0.00000
    251       3.5462      0.00000
    252       3.5517      0.00000
 Fermi energy:        -0.4103991812

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -23.9433      1.00000
      2     -23.6193      1.00000
      3     -23.5795      1.00000
      4     -23.5471      1.00000
      5     -23.4197      1.00000
      6     -23.3452      1.00000
      7     -23.0469      1.00000
      8     -22.6866      1.00000
      9     -22.6785      1.00000
     10     -22.6601      1.00000
     11     -22.6427      1.00000
     12     -22.6364      1.00000
     13     -22.5519      1.00000
     14     -22.2752      1.00000
     15     -22.2439      1.00000
     16     -22.2156      1.00000
     17     -22.1307      1.00000
     18     -22.0087      1.00000
     19     -21.6608      1.00000
     20     -21.3779      1.00000
     21     -21.3677      1.00000
     22     -21.3640      1.00000
     23     -21.3572      1.00000
     24     -21.3311      1.00000
     25     -21.3270      1.00000
     26     -21.1530      1.00000
     27     -21.1414      1.00000
     28     -21.1302      1.00000
     29     -21.0786      1.00000
     30     -21.0623      1.00000
     31     -20.9726      1.00000
     32     -20.7920      1.00000
     33     -20.7778      1.00000
     34     -20.7719      1.00000
     35     -20.6687      1.00000
     36     -20.6130      1.00000
     37     -20.4101      1.00000
     38     -20.3859      1.00000
     39     -20.3595      1.00000
     40     -20.3217      1.00000
     41     -20.2893      1.00000
     42     -20.2500      1.00000
     43     -20.2275      1.00000
     44     -20.1404      1.00000
     45     -20.0637      1.00000
     46     -20.0111      1.00000
     47     -19.4972      1.00000
     48     -19.1574      1.00000
     49     -14.0498      1.00000
     50     -13.9988      1.00000
     51     -13.9928      1.00000
     52     -13.9765      1.00000
     53     -13.9481      1.00000
     54     -13.9427      1.00000
     55     -13.8513      1.00000
     56     -13.7948      1.00000
     57     -13.7829      1.00000
     58     -13.4969      1.00000
     59     -13.4101      1.00000
     60     -13.3906      1.00000
     61     -13.2540      1.00000
     62     -13.2189      1.00000
     63     -13.1440      1.00000
     64     -13.0427      1.00000
     65     -12.9815      1.00000
     66     -12.9618      1.00000
     67     -12.7065      1.00000
     68     -12.4846      1.00000
     69     -12.4701      1.00000
     70     -12.4572      1.00000
     71     -12.4400      1.00000
     72     -12.4352      1.00000
     73     -12.4152      1.00000
     74     -12.3186      1.00000
     75     -12.2086      1.00000
     76     -12.1126      1.00000
     77     -12.0275      1.00000
     78     -11.9634      1.00000
     79     -11.7566      1.00000
     80     -11.7541      1.00000
     81     -11.5650      1.00000
     82     -11.4769      1.00000
     83     -11.3089      1.00000
     84     -11.2768      1.00000
     85     -11.0822      1.00000
     86     -10.8669      1.00000
     87     -10.8018      1.00000
     88     -10.7909      1.00000
     89     -10.6598      1.00000
     90     -10.4422      1.00000
     91     -10.2187      1.00000
     92     -10.2030      1.00000
     93     -10.1799      1.00000
     94     -10.1348      1.00000
     95     -10.1259      1.00000
     96     -10.0485      1.00000
     97     -10.0329      1.00000
     98      -9.9902      1.00000
     99      -9.7611      1.00000
    100      -9.7572      1.00000
    101      -9.7500      1.00000
    102      -9.7477      1.00000
    103      -9.7295      1.00000
    104      -9.7118      1.00000
    105      -9.7038      1.00000
    106      -9.6855      1.00000
    107      -9.6602      1.00000
    108      -9.5888      1.00000
    109      -9.5812      1.00000
    110      -9.5448      1.00000
    111      -9.5420      1.00000
    112      -9.5127      1.00000
    113      -9.5043      1.00000
    114      -9.4914      1.00000
    115      -9.4709      1.00000
    116      -9.4560      1.00000
    117      -9.2368      1.00000
    118      -9.2051      1.00000
    119      -9.1117      1.00000
    120      -9.0319      1.00000
    121      -9.0038      1.00000
    122      -9.0026      1.00000
    123      -8.9158      1.00000
    124      -8.5790      1.00000
    125      -8.5678      1.00000
    126      -8.5044      1.00000
    127      -8.4962      1.00000
    128      -8.4771      1.00000
    129      -8.4560      1.00000
    130      -8.4412      1.00000
    131      -8.3965      1.00000
    132      -8.3776      1.00000
    133      -8.3385      1.00000
    134      -8.2027      1.00000
    135      -8.1993      1.00000
    136      -8.1565      1.00000
    137      -8.1413      1.00000
    138      -8.0708      1.00000
    139      -7.9481      1.00000
    140      -7.9422      1.00000
    141      -7.9340      1.00000
    142      -7.9215      1.00000
    143      -7.9181      1.00000
    144      -7.8911      1.00000
    145      -7.8887      1.00000
    146      -7.8771      1.00000
    147      -7.8188      1.00000
    148      -7.7073      1.00000
    149      -7.6895      1.00000
    150      -7.6382      1.00000
    151      -7.6049      1.00000
    152      -7.5896      1.00000
    153      -7.4660      1.00000
    154      -7.2980      1.00000
    155      -7.0587      1.00000
    156      -6.8721      1.00000
    157      -6.8680      1.00000
    158      -6.7249      1.00000
    159      -6.6373      1.00000
    160      -6.6131      1.00000
    161      -6.6012      1.00000
    162      -6.5999      1.00000
    163      -6.5912      1.00000
    164      -6.5894      1.00000
    165      -6.5748      1.00000
    166      -6.5707      1.00000
    167      -6.3830      1.00000
    168      -6.3647      1.00000
    169      -6.3527      1.00000
    170      -6.3120      1.00000
    171      -6.2335      1.00000
    172      -6.1532      1.00000
    173      -6.0897      1.00000
    174      -6.0480      1.00000
    175      -5.8320      1.00000
    176      -5.8162      1.00000
    177      -5.8160      1.00000
    178      -5.7118      1.00000
    179      -5.6265      1.00000
    180      -5.3510      1.00000
    181      -5.1531      1.00000
    182      -5.1340      1.00000
    183      -5.1138      1.00000
    184      -5.1109      1.00000
    185      -5.0172      1.00000
    186      -4.9739      1.00000
    187      -4.9453      1.00000
    188      -4.8428      1.00000
    189      -4.8103      1.00000
    190      -4.7914      1.00000
    191      -4.7719      1.00000
    192      -4.2577      1.00000
    193      -4.2508      1.00000
    194      -0.7320      1.00000
    195       0.9153      0.00000
    196       1.0636      0.00000
    197       1.4876      0.00000
    198       1.5328      0.00000
    199       1.5356      0.00000
    200       1.6457      0.00000
    201       1.6641      0.00000
    202       1.7299      0.00000
    203       1.7395      0.00000
    204       1.7436      0.00000
    205       1.7486      0.00000
    206       1.7645      0.00000
    207       1.7663      0.00000
    208       1.7864      0.00000
    209       1.7910      0.00000
    210       1.9553      0.00000
