
 Fermi energy:        -2.0608590680

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
     46     -20.6290      1.00000
     47     -20.6058      1.00000
     48     -20.5679      1.00000
     49     -20.5600      1.00000
     50     -16.4004      1.00000
     51     -15.3252      1.00000
     52     -14.5349      1.00000
     53     -14.5045      1.00000
     54     -14.4644      1.00000
     55     -14.4417      1.00000
     56     -14.3582      1.00000
     57     -14.3426      1.00000
     58     -14.2912      1.00000
     59     -14.1893      1.00000
     60     -14.1784      1.00000
     61     -14.1558      1.00000
     62     -13.8915      1.00000
     63     -13.8126      1.00000
     64     -13.7655      1.00000
     65     -13.7525      1.00000
     66     -13.6312      1.00000
     67     -13.6179      1.00000
     68     -13.3873      1.00000
     69     -13.2826      1.00000
     70     -13.0756      1.00000
     71     -13.0551      1.00000
     72     -12.9937      1.00000
     73     -12.9521      1.00000
     74     -12.9014      1.00000
     75     -12.8925      1.00000
     76     -12.8759      1.00000
     77     -12.8671      1.00000
     78     -12.8571      1.00000
     79     -12.8154      1.00000
     80     -12.6749      1.00000
     81     -12.3246      1.00000
     82     -12.2183      1.00000
     83     -12.2055      1.00000
     84     -12.1696      1.00000
     85     -12.1672      1.00000
     86     -11.7228      1.00000
     87     -11.5266      1.00000
     88     -11.5162      1.00000
     89     -11.4055      1.00000
     90     -11.3777      1.00000
     91     -11.3486      1.00000
     92     -11.0051      1.00000
     93     -10.7773      1.00000
     94     -10.7666      1.00000
     95     -10.7249      1.00000
     96     -10.5914      1.00000
     97     -10.5809      1.00000
     98     -10.5530      1.00000
     99     -10.5207      1.00000
    100     -10.4046      1.00000
    101     -10.4028      1.00000
    102     -10.3767      1.00000
    103     -10.2848      1.00000
    104     -10.2601      1.00000
    105     -10.2182      1.00000
    106     -10.2084      1.00000
    107     -10.2022      1.00000
    108     -10.1915      1.00000
    109     -10.1570      1.00000
    110     -10.1539      1.00000
    111     -10.1423      1.00000
    112     -10.0997      1.00000
    113     -10.0635      1.00000
    114     -10.0619      1.00000
    115     -10.0444      1.00000
    116     -10.0237      1.00000
    117     -10.0202      1.00000
    118     -10.0139      1.00000
    119     -10.0098      1.00000
    120      -9.9760      1.00000
    121      -9.9026      1.00000
    122      -9.7882      1.00000
    123      -9.4624      1.00000
    124      -9.4237      1.00000
    125      -9.3716      1.00000
    126      -9.3698      1.00000
    127      -9.3608      1.00000
    128      -9.2785      1.00000
    129      -9.2638      1.00000
    130      -9.0070      1.00000
    131      -8.9969      1.00000
    132      -8.9774      1.00000
    133      -8.9421      1.00000
    134      -8.8954      1.00000
    135      -8.8833      1.00000
    136      -8.8204      1.00000
    137      -8.7695      1.00000
    138      -8.5956      1.00000
    139      -8.5674      1.00000
    140      -8.5524      1.00000
    141      -8.5404      1.00000
    142      -8.5201      1.00000
    143      -8.4962      1.00000
    144      -8.4721      1.00000
    145      -8.4635      1.00000
    146      -8.4616      1.00000
    147      -8.4425      1.00000
    148      -8.4245      1.00000
    149      -8.3793      1.00000
    150      -8.3734      1.00000
    151      -8.3700      1.00000
    152      -8.3602      1.00000
    153      -8.3230      1.00000
    154      -8.1731      1.00000
    155      -8.0665      1.00000
    156      -8.0655      1.00000
    157      -8.0384      1.00000
    158      -7.9772      1.00000
    159      -7.5520      1.00000
    160      -7.3507      1.00000
    161      -7.2934      1.00000
    162      -7.1660      1.00000
    163      -7.1391      1.00000
    164      -7.1300      1.00000
    165      -7.1006      1.00000
    166      -7.0502      1.00000
    167      -7.0028      1.00000
    168      -6.9935      1.00000
    169      -6.9651      1.00000
    170      -6.9532      1.00000
    171      -6.9326      1.00000
    172      -6.9313      1.00000
    173      -6.9227      1.00000
    174      -6.9171      1.00000
    175      -6.8833      1.00000
    176      -6.8531      1.00000
    177      -6.4881      1.00000
    178      -6.4299      1.00000
    179      -6.4057      1.00000
    180      -6.4049      1.00000
    181      -6.3520      1.00000
    182      -6.2565      1.00000
    183      -6.2532      1.00000
    184      -6.2200      1.00000
    185      -5.6953      1.00000
    186      -5.6096      1.00000
    187      -5.5416      1.00000
    188      -5.5392      1.00000
    189      -5.5312      1.00000
    190      -5.5217      1.00000
    191      -5.3663      1.00000
    192      -5.3430      1.00000
    193      -5.2647      1.00000
    194      -5.2439      1.00000
    195      -5.1913      1.00000
    196      -5.1830      1.00000
    197      -3.8988      1.00000
    198      -2.3475      1.00000
    199       0.8917      0.00000
    200       1.2473      0.00000
    201       1.3449      0.00000
    202       1.3714      0.00000
    203       1.4059      0.00000
    204       1.4228      0.00000
    205       1.5302      0.00000
    206       1.5310      0.00000
    207       1.5354      0.00000
    208       1.5416      0.00000
    209       1.5421      0.00000
    210       1.5586      0.00000
    211       1.5587      0.00000
    212       1.5892      0.00000
    213       1.5993      0.00000
    214       1.6055      0.00000
    215       1.6675      0.00000
    216       1.7050      0.00000
    217       1.7660      0.00000
    218       1.8164      0.00000
    219       1.8625      0.00000
    220       1.9056      0.00000
    221       1.9495      0.00000
    222       1.9913      0.00000
    223       2.0357      0.00000
    224       2.2412      0.00000
    225       2.4195      0.00000
    226       2.4262      0.00000
    227       2.4282      0.00000
    228       2.4430      0.00000
    229       2.4510      0.00000
    230       2.4749      0.00000
    231       2.7232      0.00000
    232       2.8089      0.00000
    233       2.8127      0.00000
    234       2.8458      0.00000
    235       2.8485      0.00000
    236       2.8567      0.00000
    237       2.8647      0.00000
    238       2.8847      0.00000
    239       2.8896      0.00000
    240       2.8909      0.00000
    241       2.9017      0.00000
    242       2.9035      0.00000
    243       2.9126      0.00000
    244       3.0482      0.00000
    245       3.0542      0.00000
    246       3.1474      0.00000
    247       3.1548      0.00000
    248       3.1669      0.00000
    249       3.1757      0.00000
    250       3.1833      0.00000
    251       3.2116      0.00000
    252       3.2359      0.00000

