
 Fermi energy:        -0.5721098530

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
     84     -11.1907      1.00000
     85     -10.9883      1.00000
     86     -10.8139      1.00000
     87     -10.7514      1.00000
     88     -10.7512      1.00000
     89     -10.5908      1.00000
     90     -10.3781      1.00000
     91     -10.1827      1.00000
     92     -10.1385      1.00000
     93     -10.1383      1.00000
     94     -10.0888      1.00000
     95     -10.0850      1.00000
     96     -10.0058      1.00000
     97      -9.9806      1.00000
     98      -9.8569      1.00000
     99      -9.7234      1.00000
    100      -9.7202      1.00000
    101      -9.7101      1.00000
    102      -9.7048      1.00000
    103      -9.6828      1.00000
    104      -9.6773      1.00000
    105      -9.6625      1.00000
    106      -9.6471      1.00000
    107      -9.6034      1.00000
    108      -9.5202      1.00000
    109      -9.5148      1.00000
    110      -9.5050      1.00000
    111      -9.4968      1.00000
    112      -9.4608      1.00000
    113      -9.4551      1.00000
    114      -9.4224      1.00000
    115      -9.4215      1.00000
    116      -9.3934      1.00000
    117      -9.1945      1.00000
    118      -9.1722      1.00000
    119      -9.0572      1.00000
    120      -8.9724      1.00000
    121      -8.9600      1.00000
    122      -8.9593      1.00000
    123      -8.8748      1.00000
    124      -8.5015      1.00000
    125      -8.4671      1.00000
    126      -8.4643      1.00000
    127      -8.4593      1.00000
    128      -8.4358      1.00000
    129      -8.4138      1.00000
    130      -8.4019      1.00000
    131      -8.3172      1.00000
    132      -8.2949      1.00000
    133      -8.2934      1.00000
    134      -8.1645      1.00000
    135      -8.1629      1.00000
    136      -8.1113      1.00000
    137      -8.0965      1.00000
    138      -8.0259      1.00000
    139      -7.9090      1.00000
    140      -7.8769      1.00000
    141      -7.8655      1.00000
    142      -7.8579      1.00000
    143      -7.8524      1.00000
    144      -7.8349      1.00000
    145      -7.8126      1.00000
    146      -7.7827      1.00000
    147      -7.7284      1.00000
    148      -7.6487      1.00000
    149      -7.6192      1.00000
    150      -7.5782      1.00000
    151      -7.5465      1.00000
    152      -7.5075      1.00000
    153      -7.2898      1.00000
    154      -7.2340      1.00000
    155      -7.0523      1.00000
    156      -6.8179      1.00000
    157      -6.7717      1.00000
    158      -6.6867      1.00000
    159      -6.5797      1.00000
    160      -6.5665      1.00000
    161      -6.5643      1.00000
    162      -6.5534      1.00000
    163      -6.5433      1.00000
    164      -6.5333      1.00000
    165      -6.5306      1.00000
    166      -6.5009      1.00000
    167      -6.3261      1.00000
    168      -6.3182      1.00000
    169      -6.3012      1.00000
    170      -6.2749      1.00000
    171      -6.1948      1.00000
    172      -6.1415      1.00000
    173      -6.0429      1.00000
    174      -5.9687      1.00000
    175      -5.8015      1.00000
    176      -5.7622      1.00000
    177      -5.7605      1.00000
    178      -5.6674      1.00000
    179      -5.5942      1.00000
    180      -5.3104      1.00000
    181      -5.1208      1.00000
    182      -5.0817      1.00000
    183      -5.0682      1.00000
    184      -5.0152      1.00000
    185      -4.9770      1.00000
    186      -4.9407      1.00000
    187      -4.8960      1.00000
    188      -4.7765      1.00000
    189      -4.7539      1.00000
    190      -4.7391      1.00000
    191      -4.5669      1.00000
    192      -4.2655      1.00000
    193      -4.2370      1.00000
    194      -0.8376      1.00000
    195       0.9264      0.00000
    196       1.1168      0.00000
    197       1.5097      0.00000
    198       1.5483      0.00000
    199       1.5505      0.00000
    200       1.6469      0.00000
    201       1.6568      0.00000
    202       1.6961      0.00000
    203       1.7439      0.00000
    204       1.7775      0.00000
    205       1.7781      0.00000
    206       1.7988      0.00000
    207       1.8003      0.00000
    208       1.8221      0.00000
    209       1.8223      0.00000
    210       1.9749      0.00000
    211       1.9891      0.00000
    212       1.9980      0.00000
    213       2.0945      0.00000
    214       2.1186      0.00000
    215       2.2839      0.00000
    216       2.3034      0.00000
    217       2.3265      0.00000
    218       2.3358      0.00000
    219       2.3368      0.00000
    220       2.3437      0.00000
    221       2.3913      0.00000
    222       2.4001      0.00000
    223       2.4101      0.00000
    224       2.4185      0.00000
    225       2.5000      0.00000
    226       2.5710      0.00000
    227       2.5769      0.00000
    228       2.5815      0.00000
    229       2.6109      0.00000
    230       2.6179      0.00000
    231       2.6204      0.00000
    232       2.6708      0.00000
    233       2.6981      0.00000
    234       2.8645      0.00000
    235       2.8969      0.00000
    236       2.9024      0.00000
    237       2.9060      0.00000
    238       2.9325      0.00000
    239       2.9378      0.00000
    240       2.9947      0.00000
    241       3.4655      0.00000
    242       3.5147      0.00000
    243       3.5190      0.00000
    244       3.5240      0.00000
    245       3.5321      0.00000
    246       3.5348      0.00000
    247       3.5361      0.00000
    248       3.5371      0.00000
    249       3.5427      0.00000
    250       3.5435      0.00000
    251       3.5591      0.00000
    252       3.5844      0.00000

